Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
494,"Potential Process Crash or Stop for Route Planning, Collision Avoidance and Situational Awareness Controller",Denial Of Service,Navigation Automation System,Heartbeat/ AIS Transceivers Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
495,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Heartbeat/ AIS Transceivers Data,High,Not Started,,"Data flowing across Heartbeat/ AIS Transceivers Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
496,"Potential Data Repudiation by Route Planning, Collision Avoidance and Situational Awareness Controller",Repudiation,Navigation Automation System,Heartbeat/ AIS Transceivers Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
497,"Potential Lack of Input Validation for Route Planning, Collision Avoidance and Situational Awareness Controller",Tampering,Navigation Automation System,Heartbeat/ AIS Transceivers Data,High,Not Started,,"Data flowing across Heartbeat/ AIS Transceivers Data may be tampered with by an attacker. This may lead to a denial of service attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an elevation of privilege attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",,Generated
498,"Spoofing the Route Planning, Collision Avoidance and Situational Awareness Controller Process",Spoofing,Navigation Automation System,Heartbeat/ AIS Transceivers Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be spoofed by an attacker and this may lead to information disclosure by AIS. Consider using a standard authentication mechanism to identify the destination process.",,Generated
499,Spoofing the AIS Process,Spoofing,Navigation Automation System,Heartbeat/ AIS Transceivers Data,High,Not Started,,"AIS may be spoofed by an attacker and this may lead to unauthorized access to Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the source process.",,Generated
500,Elevation Using Impersonation,Elevation Of Privilege,Safety and Emergency System,Heartbeat/ Light Spatial Data,High,Not Started,,"Emergency monitor, response and alert controller may be able to impersonate the context of LIDAR in order to gain additional privilege.",,Generated
501,"Emergency monitor, response and alert controller May be Subject to Elevation of Privilege Using Remote Code Execution",Elevation Of Privilege,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Heat Sensors may be able to remotely execute code for Emergency monitor, response and alert controller.",,Generated
502,Elevation Using Impersonation,Elevation Of Privilege,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Emergency monitor, response and alert controller may be able to impersonate the context of Heat Sensors in order to gain additional privilege.",,Generated
503,Data Flow Heartbeat/ Infrared Feed Is Potentially Interrupted,Denial Of Service,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
504,"Potential Process Crash or Stop for Emergency monitor, response and alert controller",Denial Of Service,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Emergency monitor, response and alert controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
505,Data Flow Sniffing,Information Disclosure,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Data flowing across Heartbeat/ Infrared Feed may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
506,"Potential Data Repudiation by Emergency monitor, response and alert controller",Repudiation,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Emergency monitor, response and alert controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
507,"Potential Lack of Input Validation for Emergency monitor, response and alert controller",Tampering,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Data flowing across Heartbeat/ Infrared Feed may be tampered with by an attacker. This may lead to a denial of service attack against Emergency monitor, response and alert controller or an elevation of privilege attack against Emergency monitor, response and alert controller or an information disclosure by Emergency monitor, response and alert controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",,Generated
508,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to information disclosure by Heat Sensors. Consider using a standard authentication mechanism to identify the destination process.",,Generated
509,Spoofing the Heat Sensors Process,Spoofing,Safety and Emergency System,Heartbeat/ Infrared Feed,High,Not Started,,"Heat Sensors may be spoofed by an attacker and this may lead to unauthorized access to Emergency monitor, response and alert controller. Consider using a standard authentication mechanism to identify the source process.",,Generated
510,Cross Site Request Forgery,Elevation Of Privilege,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
511,Elevation by Changing the Execution Flow in Heat Sensors,Elevation Of Privilege,Safety and Emergency System,Optimal Process Command,High,Not Started,,An attacker may pass data into Heat Sensors in order to change the flow of program execution within Heat Sensors to the attacker's choosing.,,Generated
512,Spoofing of Destination Data Store Voyage Data Recorder,Spoofing,Navigation Automation System,Voyage data,High,Not Started,,Voyage Data Recorder may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Voyage Data Recorder. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
513,External Entity Human Operator/ Other System Potentially Denies Receiving Data,Repudiation,Navigation Automation System,Navigation Information and Charts,High,Not Started,,"Human Operator/ Other System claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
514,Potential SQL Injection Vulnerability for Voyage Data Recorder,Tampering,Navigation Automation System,Voyage data,High,Not Started,,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,,Generated
515,Spoofing of the Human Operator/ Other System External Destination Entity,Spoofing,Navigation Automation System,Navigation Information and Charts,High,Not Started,,Human Operator/ Other System may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Human Operator/ Other System. Consider using a standard authentication mechanism to identify the external entity.,,Generated
516,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Sensors and navigation devices data,High,Not Started,,ECDIS may be able to impersonate the context of Automatic Navigation System in order to gain additional privilege.,,Generated
1100,Spoofing the Engine Automation Controller Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Engine Automation Controller may be spoofed by an attacker and this may lead to unauthorized access to Engine Process Server. Consider using a standard authentication mechanism to identify the source process.,,Generated
1095,Engine Control System Process Memory Tampered,Tampering,Engine Automation System,Optimal Process Command,High,Not Started,,"If Engine Control System is given access to memory, such as shared memory or pointers, or is given the ability to control what Engine Automation Controller executes (for example, passing back a function pointer.), then Engine Control System can tamper with Engine Automation Controller. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
519,Potential Excessive Resource Consumption for Automatic Navigation System or Voyage Data Recorder,Denial Of Service,Navigation Automation System,Voyage data,High,Not Started,,"Does Automatic Navigation System or Voyage Data Recorder take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
520,Spoofing of Source Data Store Voyage Data Recorder,Spoofing,Navigation Automation System,Voyage Historical Data,High,Not Started,,Voyage Data Recorder may be spoofed by an attacker and this may lead to incorrect data delivered to Automatic Navigation System. Consider using a standard authentication mechanism to identify the source data store.,,Generated
1094,Fuel System Process Server Process Memory Tampered,Tampering,Engine Automation System,Performance Data,High,Not Started,,"If Fuel System Process Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Engine Automation Controller executes (for example, passing back a function pointer.), then Fuel System Process Server can tamper with Engine Automation Controller. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
522,Weak Access Control for a Resource,Information Disclosure,Navigation Automation System,Voyage Historical Data,High,Not Started,,Improper data protection of Voyage Data Recorder can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
523,Potential Data Repudiation by Network Interface System,Repudiation,Navigation Automation System,Input into automatic navigation system,High,Not Started,,"Network Interface System claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
524,Potential Process Crash or Stop for Network Interface System,Denial Of Service,Navigation Automation System,Input into automatic navigation system,High,Not Started,,"Network Interface System crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
525,Data Flow Input into automatic navigation system Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Input into automatic navigation system,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
526,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Input into automatic navigation system,High,Not Started,,Network Interface System may be able to impersonate the context of Human Operator/ Other System in order to gain additional privilege.,,Generated
527,Network Interface System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Navigation Automation System,Input into automatic navigation system,High,Not Started,,Human Operator/ Other System may be able to remotely execute code for Network Interface System.,,Generated
528,Elevation by Changing the Execution Flow in Network Interface System,Elevation Of Privilege,Navigation Automation System,Input into automatic navigation system,High,Not Started,,An attacker may pass data into Network Interface System in order to change the flow of program execution within Network Interface System to the attacker's choosing.,,Generated
529,Spoofing of the Human Operator/ Other System External Destination Entity,Spoofing,Navigation Automation System,Output from automatic navigation system,High,Not Started,,Human Operator/ Other System may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Human Operator/ Other System. Consider using a standard authentication mechanism to identify the external entity.,,Generated
530,External Entity Human Operator/ Other System Potentially Denies Receiving Data,Repudiation,Navigation Automation System,Output from automatic navigation system,High,Not Started,,"Human Operator/ Other System claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
531,Data Flow Output from automatic navigation system Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Output from automatic navigation system,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
532,Data Flow Heartbeat/ Light Spatial Data Is Potentially Interrupted,Denial Of Service,Safety and Emergency System,Heartbeat/ Light Spatial Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
533,"Potential Process Crash or Stop for Emergency monitor, response and alert controller",Denial Of Service,Safety and Emergency System,Heartbeat/ Light Spatial Data,High,Not Started,,"Emergency monitor, response and alert controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
534,Spoofing the Radar and LIDAR Process,Spoofing,Navigation Automation System,Optimal Process Command,High,Not Started,,"Radar and LIDAR may be spoofed by an attacker and this may lead to information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
535,Potential Lack of Input Validation for Radar and LIDAR,Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Radar and LIDAR or an elevation of privilege attack against Radar and LIDAR or an information disclosure by Radar and LIDAR. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
536,"Route Planning, Collision Avoidance and Situational Awareness Controller Process Memory Tampered",Tampering,Navigation Automation System,Optimal Process Command,High,Not Started,,"If Route Planning, Collision Avoidance and Situational Awareness Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Radar and LIDAR executes (for example, passing back a function pointer.), then Route Planning, Collision Avoidance and Situational Awareness Controller can tamper with Radar and LIDAR. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
1091,"Route Planning, Collision Avoidance and Situational Awareness Controller Process Memory Tampered",Tampering,Navigation Automation System,Performance Data,High,Not Started,,"If Route Planning, Collision Avoidance and Situational Awareness Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Automatic Navigation System executes (for example, passing back a function pointer.), then Route Planning, Collision Avoidance and Situational Awareness Controller can tamper with Automatic Navigation System. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
1090,Network Interface System Process Memory Tampered,Tampering,Navigation Automation System,Action Command,High,Not Started,,"If Network Interface System is given access to memory, such as shared memory or pointers, or is given the ability to control what Automatic Navigation System executes (for example, passing back a function pointer.), then Network Interface System can tamper with Automatic Navigation System. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
539,Potential Data Repudiation by Radar and LIDAR,Repudiation,Navigation Automation System,Optimal Process Command,High,Not Started,,"Radar and LIDAR claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
540,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
1089,Automatic Navigation System Process Memory Tampered,Tampering,Navigation Automation System,Sensors and navigation devices data,High,Not Started,,"If Automatic Navigation System is given access to memory, such as shared memory or pointers, or is given the ability to control what ECDIS executes (for example, passing back a function pointer.), then Automatic Navigation System can tamper with ECDIS. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
542,Potential Process Crash or Stop for Radar and LIDAR,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,"Radar and LIDAR crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
543,Data Flow Optimal Process Command Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Optimal Process Command,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
544,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Radar and LIDAR may be able to impersonate the context of Route Planning, Collision Avoidance and Situational Awareness Controller in order to gain additional privilege.",,Generated
545,Radar and LIDAR May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be able to remotely execute code for Radar and LIDAR.",,Generated
546,Elevation by Changing the Execution Flow in Radar and LIDAR,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,An attacker may pass data into Radar and LIDAR in order to change the flow of program execution within Radar and LIDAR to the attacker's choosing.,,Generated
547,Cross Site Request Forgery,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
548,Spoofing the Radar and LIDAR Process,Spoofing,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Radar and LIDAR may be spoofed by an attacker and this may lead to unauthorized access to Route Planning, Collision Avoidance and Situational Awareness Controller. Consider using a standard authentication mechanism to identify the source process.",,Generated
549,"Spoofing the Route Planning, Collision Avoidance and Situational Awareness Controller Process",Spoofing,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be spoofed by an attacker and this may lead to information disclosure by Radar and LIDAR. Consider using a standard authentication mechanism to identify the destination process.",,Generated
550,"Potential Lack of Input Validation for Route Planning, Collision Avoidance and Situational Awareness Controller",Tampering,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Data flowing across Heartbeat/ Spatial Data may be tampered with by an attacker. This may lead to a denial of service attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an elevation of privilege attack against Route Planning, Collision Avoidance and Situational Awareness Controller or an information disclosure by Route Planning, Collision Avoidance and Situational Awareness Controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",,Generated
551,"Potential Data Repudiation by Route Planning, Collision Avoidance and Situational Awareness Controller",Repudiation,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
552,Data Flow Sniffing,Information Disclosure,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Data flowing across Heartbeat/ Spatial Data may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
553,"Potential Process Crash or Stop for Route Planning, Collision Avoidance and Situational Awareness Controller",Denial Of Service,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
554,Data Flow Heartbeat/ Spatial Data Is Potentially Interrupted,Denial Of Service,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
555,Elevation Using Impersonation,Elevation Of Privilege,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be able to impersonate the context of Radar and LIDAR in order to gain additional privilege.",,Generated
556,"Route Planning, Collision Avoidance and Situational Awareness Controller May be Subject to Elevation of Privilege Using Remote Code Execution",Elevation Of Privilege,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Radar and LIDAR may be able to remotely execute code for Route Planning, Collision Avoidance and Situational Awareness Controller.",,Generated
557,"Elevation by Changing the Execution Flow in Route Planning, Collision Avoidance and Situational Awareness Controller",Elevation Of Privilege,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"An attacker may pass data into Route Planning, Collision Avoidance and Situational Awareness Controller in order to change the flow of program execution within Route Planning, Collision Avoidance and Situational Awareness Controller to the attacker's choosing.",,Generated
558,Cross Site Request Forgery,Elevation Of Privilege,Navigation Automation System,Heartbeat/ Spatial Data,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
559,Spoofing the Engine Control System Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Engine Control System may be spoofed by an attacker and this may lead to unauthorized access to Engine Automation Controller. Consider using a standard authentication mechanism to identify the source process.,,Generated
560,Spoofing the Engine Control System Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Engine Control System may be spoofed by an attacker and this may lead to unauthorized access to Generator Controller. Consider using a standard authentication mechanism to identify the source process.,,Generated
561,Spoofing the Engine Control System Process,Spoofing,Engine Automation System,Optimal Process Command,High,Not Started,,Engine Control System may be spoofed by an attacker and this may lead to unauthorized access to Thruster Controller. Consider using a standard authentication mechanism to identify the source process.,,Generated
562,External Entity Human Operator/ Other System Potentially Denies Receiving Data,Repudiation,Engine Automation System,Output from engine automation system,High,Not Started,,"Human Operator/ Other System claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
563,Generator Controller Process Memory Tampered,Tampering,Engine Automation System,Performance Data,High,Not Started,,"If Generator Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Engine Control System executes (for example, passing back a function pointer.), then Generator Controller can tamper with Engine Control System. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
564,Thruster Controller Process Memory Tampered,Tampering,Engine Automation System,Performance Data,High,Not Started,,"If Thruster Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Engine Control System executes (for example, passing back a function pointer.), then Thruster Controller can tamper with Engine Control System. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
565,Engine Automation Controller Process Memory Tampered,Tampering,Engine Automation System,Performance Data,High,Not Started,,"If Engine Automation Controller is given access to memory, such as shared memory or pointers, or is given the ability to control what Engine Control System executes (for example, passing back a function pointer.), then Engine Automation Controller can tamper with Engine Control System. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
566,Spoofing of the Human Operator/ Other System External Destination Entity,Spoofing,Engine Automation System,Output from engine automation system,High,Not Started,,Human Operator/ Other System may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Human Operator/ Other System. Consider using a standard authentication mechanism to identify the external entity.,,Generated
567,Cross Site Request Forgery,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
568,Elevation by Changing the Execution Flow in AIS,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,An attacker may pass data into AIS in order to change the flow of program execution within AIS to the attacker's choosing.,,Generated
569,AIS May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Navigation Automation System,Optimal Process Command,High,Not Started,,"Route Planning, Collision Avoidance and Situational Awareness Controller may be able to remotely execute code for AIS.",,Generated
1184,Safety and Emergency System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,MASS,Version Control,High,Not Started,,Patch Manager may be able to remotely execute code for Safety and Emergency System.,,Generated
571,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to information disclosure by Intruision Detection System. Consider using a standard authentication mechanism to identify the destination process.",,Generated
572,Data Flow Sniffing,Information Disclosure,Safety and Emergency System,Sensors data/ Access logs,High,Not Started,,"Data flowing across Sensors data/ Access logs may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
573,Potential Data Repudiation by Intruision Detection System,Repudiation,Safety and Emergency System,Sensors data/ Access logs,High,Not Started,,"Intruision Detection System claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1174,Cargo Management System May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,MASS,Version Control,High,Not Started,,Patch Manager may be able to remotely execute code for Cargo Management System.,,Generated
1173,Elevation Using Impersonation,Elevation Of Privilege,MASS,Version Control,High,Not Started,,Cargo Management System may be able to impersonate the context of Patch Manager in order to gain additional privilege.,,Generated
576,Potential Lack of Input Validation for Intruision Detection System,Tampering,Safety and Emergency System,Sensors data/ Access logs,High,Not Started,,Data flowing across Sensors data/ Access logs may be tampered with by an attacker. This may lead to a denial of service attack against Intruision Detection System or an elevation of privilege attack against Intruision Detection System or an information disclosure by Intruision Detection System. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
577,Spoofing the Intruision Detection System Process,Spoofing,Safety and Emergency System,Sensors data/ Access logs,High,Not Started,,"Intruision Detection System may be spoofed by an attacker and this may lead to information disclosure by Emergency monitor, response and alert controller. Consider using a standard authentication mechanism to identify the destination process.",,Generated
578,"Potential Data Repudiation by Emergency monitor, response and alert controller",Repudiation,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
1157,Spoofing the Navigation Automation System Process,Spoofing,MASS,Version Control,High,Not Started,,Navigation Automation System may be spoofed by an attacker and this may lead to information disclosure by Patch Manager. Consider using a standard authentication mechanism to identify the destination process.,,Generated
1145,Spoofing the Intruision Detection System Process,Spoofing,Safety and Emergency System,Internal Process Information,High,Not Started,,Intruision Detection System may be spoofed by an attacker and this may lead to unauthorized access to Network Interface System. Consider using a standard authentication mechanism to identify the source process.,,Generated
581,"Potential Lack of Input Validation for Emergency monitor, response and alert controller",Tampering,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Data flowing across Optimal Process Command may be tampered with by an attacker. This may lead to a denial of service attack against Emergency monitor, response and alert controller or an elevation of privilege attack against Emergency monitor, response and alert controller or an information disclosure by Emergency monitor, response and alert controller. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",,Generated
582,"Spoofing the Emergency monitor, response and alert controller Process",Spoofing,Safety and Emergency System,Optimal Process Command,High,Not Started,,"Emergency monitor, response and alert controller may be spoofed by an attacker and this may lead to information disclosure by Safety Monitoring System. Consider using a standard authentication mechanism to identify the destination process.",,Generated
